"Group","Category","1 tot 10 werknemers","10 tot 100 werknemers","100 of meer werknemers"
"2013","Vierde kwartaal","1,7","3,3","4,6"
"2014","Eerste kwartaal","1,7","3,4","4,8"
"2014","Tweede kwartaal","1,5","3,2","4,4"
"2014","Derde Kwartaal","1,6","3,1","4,2"
"2014","Vierde kwartaal","1,7","3,4","4,8"
"2015","Eerste kwartaal","1,7","3,7","5,3"
"2015","Tweede kwartaal","1,5","3,2","4,5"
"2015","Derde Kwartaal","1,6","3","4,2"
"2015","Vierde kwartaal","1,6","3,3","4,7"
"2016","Eerste kwartaal","1,7","3,6","5,3"
"2016","Tweede kwartaal","1,6","3,2","4,5"
"2016","Derde Kwartaal","1,6","3","4,2"
"2016","Vierde kwartaal","1,6","3,4","5"
"2017","Eerste kwartaal","1,7","3,6","5,2"
"2017","Tweede kwartaal","1,6","3,3","4,6"
"2017","Derde Kwartaal","1,4","3,1","4,5"
"2017","Vierde kwartaal","1,7","3,5","5,1"
"2018","Eerste kwartaal","1,8","4","5,9"
"2018","Tweede kwartaal","1,5","3,4","4,9"
"2018","Derde Kwartaal","1,4","3,3","4,7"
"2018","Vierde kwartaal","1,5","3,6","5,2"
"2019","Eerste kwartaal","1,8","4","5,6"
"2019","Tweede kwartaal","1,7","3,8","5"
"2019","Derde Kwartaal","1,6","3,6","4,8"
"2019","Vierde kwartaal","1,8","4","5,3"
"2020","Eerste kwartaal","2,4","4,5","6"
"2020","Tweede kwartaal","2,3","4,2","5,1"
"2020","Derde Kwartaal","3","4,1","4,8"
"2020","Vierde kwartaal","3,3","4,5","5,5"
"2021","Eerste kwartaal","3,4","4,3","5,4"
"2021","Tweede kwartaal","2,8","4,3","5,3"
"2021","Derde Kwartaal","3,2","4,2","5,1"
"2021","Vierde kwartaal","3,4","4,9","6,1"
"2022","Eerste kwartaal","4,3","5,7","7"
"2022","Tweede kwartaal","3,7","4,9","6"
"2022","Derde Kwartaal","2,8","4,5","5,7"
"2022","Vierde kwartaal","3,1","5","6,4"
"2023","Eerste kwartaal","3,5","5","6,5"
"2023","Tweede kwartaal","3","4,5","5,7"
"2023","Derde Kwartaal","2,6","4,3","5,5"
"2023","Vierde kwartaal","2,7","4,8","6,4"
